timestampSec,isShooting,playerPosX,playerPosY,playerPosZ,aimYawSpeed,aimPitchSpeed,moveSpeed,deltaYaw,deltaPitch,health,weaponId,isOnGround,distanceToNearestEnemy
176.45,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,5.96
176.65,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,5.96
176.85,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,5.96
177.05,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,5.96
177.25,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,5.96
177.45,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,5.96
177.65,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,5.96
177.86,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,5.96
178.06,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,5.96
178.26,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,5.96
178.46,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,5.96
178.66,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,5.96
178.86,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,5.96
179.06,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,15.84
179.27,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,15.33
179.47,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,16.32
179.67,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,18.61
179.87,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,19.76
180.07,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,19.76
180.28,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,19.76
180.48,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,19.76
180.68,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,19.76
180.88,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,19.76
181.08,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,19.76
181.28,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,19.76
181.48,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,19.76
181.68,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,19.76
181.89,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,21.58
182.09,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,20.10
182.29,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,19.27
182.49,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,19.83
182.69,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,21.37
182.89,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,21.72
183.10,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,21.97
183.30,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,23.26
183.50,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,25.39
183.70,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,27.94
183.90,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.74
184.10,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.89
184.30,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.91
184.50,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
184.71,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
184.91,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
185.11,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
185.31,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
185.51,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
185.71,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
185.91,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
186.12,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
186.32,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
186.52,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
186.72,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
186.92,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
187.12,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
187.32,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
187.53,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
187.73,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
187.93,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
188.13,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
188.33,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
188.54,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,28.92
188.74,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,36.32
188.94,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,36.32
189.14,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,36.32
189.35,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,36.32
189.55,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,36.32
189.75,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,6.72
189.95,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,5.44
190.15,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,4.01
190.35,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,4.37
190.55,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,6.45
190.76,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,9.19
190.96,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,12.14
191.16,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,13.09
191.37,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,11.70
191.57,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,9.88
191.77,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,8.08
191.97,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,6.62
192.17,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,5.20
192.37,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,3.74
192.58,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,3.14
192.78,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,1.62
192.98,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,2.17
193.18,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,4.88
193.38,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,7.77
193.58,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,8.43
193.78,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,6.84
193.99,0,190.09,145.93,5.50,0.00,0.00,0.00,0.00,0.00,0,3,1,4.90
194.19,0,175.00,141.00,5.00,173.91,0.10,15.89,173.91,-0.10,100,3,1,10.70
194.39,0,175.00,141.00,5.00,4.36,4.91,0.00,4.36,-4.91,100,3,1,9.53
194.59,0,175.04,141.13,5.00,10.36,4.09,0.14,10.36,-4.09,100,3,1,8.74
194.79,0,176.40,141.90,4.50,94.27,2.18,1.63,94.27,-2.18,100,3,1,8.23
194.99,0,178.66,140.53,4.50,16.55,4.00,2.64,16.55,-4.00,100,3,1,12.13
195.19,0,178.46,140.10,4.50,0.09,0.09,0.47,0.09,-0.09,100,3,1,14.99
195.40,0,178.05,140.10,4.50,0.00,0.00,0.41,0.00,0.00,100,3,1,17.47
195.60,0,177.98,140.10,4.50,0.00,0.00,0.07,0.00,0.00,100,3,1,19.52
195.80,0,177.97,140.10,4.50,0.00,0.00,0.01,0.00,0.00,100,3,1,22.57
196.00,0,177.96,140.10,4.50,0.00,0.00,0.00,0.00,0.00,100,3,1,22.48
196.21,0,177.96,140.10,4.50,0.00,0.00,0.00,0.00,0.00,100,3,1,17.95
196.41,0,177.96,140.10,4.50,11.82,7.55,0.00,11.82,7.55,100,3,1,16.37
